Januari,,,,,,,,,Februari,,,,,,,,,Maret,,,,,,,,
GTG 2.1,,,GTG 2.2,,,GTG 2.3,,,GTG 2.1,,,GTG 2.2,,,GTG 2.3,,,GTG 2.1,,,GTG 2.2,,,GTG 2.3,,
Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam)
15/01/2025 00:00,-,-,18/01/2025 00:00,-,-,15/01/2025 00:00,-,-,01/02/2025 0:00,-,-,19/02/2025 00:00,-,-,18/02/2025 00:00,-,-,22/03/2025 00:00,76.9,495.25,06/03/2025 0:00,-,-,01/03/2025 0:00,80.69,513.37
15/01/2025 00:30,-,-,18/01/2025 00:30,-,-,15/01/2025 00:30,-,-,01/02/2025 0:30,-,-,19/02/2025 00:30,-,-,18/02/2025 00:30,-,-,22/03/2025 00:30,79.67,508.5,06/03/2025 0:30,-,-,01/03/2025 0:30,80.69,513.37
15/01/2025 01:00,-,-,18/01/2025 01:00,-,-,15/01/2025 01:00,-,-,01/02/2025 1:00,-,-,19/02/2025 01:00,-,-,18/02/2025 01:00,-,-,22/03/2025 01:00,79.64,508.35,06/03/2025 1:00,-,-,01/03/2025 1:00,80.67,513.26
15/01/2025 01:30,-,-,18/01/2025 01:30,-,-,15/01/2025 01:30,-,-,01/02/2025 1:30,-,-,19/02/2025 01:30,-,-,18/02/2025 01:30,-,-,22/03/2025 01:30,79.66,508.46,06/03/2025 1:30,-,-,01/03/2025 1:30,80.72,513.51
15/01/2025 02:00,-,-,18/01/2025 02:00,-,-,15/01/2025 02:00,-,-,01/02/2025 2:00,-,-,19/02/2025 02:00,-,-,18/02/2025 02:00,-,-,22/03/2025 02:00,79.65,508.4,06/03/2025 2:00,-,-,01/03/2025 2:00,80.76,513.7
15/01/2025 02:30,-,-,18/01/2025 02:30,-,-,15/01/2025 02:30,-,-,01/02/2025 2:30,-,-,19/02/2025 02:30,-,-,18/02/2025 02:30,-,-,22/03/2025 02:30,79.66,508.42,06/03/2025 2:30,-,-,01/03/2025 2:30,80.74,513.63
15/01/2025 03:00,-,-,18/01/2025 03:00,-,-,15/01/2025 03:00,-,-,01/02/2025 3:00,-,-,19/02/2025 03:00,-,-,18/02/2025 03:00,-,-,22/03/2025 03:00,79.69,508.57,06/03/2025 3:00,-,-,01/03/2025 3:00,80.76,513.71
15/01/2025 03:30,-,-,18/01/2025 03:30,-,-,15/01/2025 03:30,-,-,01/02/2025 3:30,-,-,19/02/2025 03:30,-,-,18/02/2025 03:30,-,-,22/03/2025 03:30,76.52,493.43,06/03/2025 3:30,-,-,01/03/2025 3:30,80.72,513.51
15/01/2025 04:00,-,-,18/01/2025 04:00,-,-,15/01/2025 04:00,-,-,01/02/2025 4:00,-,-,19/02/2025 04:00,-,-,18/02/2025 04:00,-,-,22/03/2025 04:00,76.69,494.23,06/03/2025 4:00,-,-,01/03/2025 4:00,80.73,513.57
15/01/2025 04:30,-,-,18/01/2025 04:30,-,-,15/01/2025 04:30,-,-,01/02/2025 4:30,-,-,19/02/2025 04:30,-,-,18/02/2025 04:30,-,-,22/03/2025 04:30,76.69,494.26,06/03/2025 4:30,-,-,01/03/2025 4:30,80.67,513.27
15/01/2025 05:00,-,-,18/01/2025 05:00,-,-,15/01/2025 05:00,-,-,01/02/2025 5:00,-,-,19/02/2025 05:00,-,-,18/02/2025 05:00,-,-,22/03/2025 05:00,76.69,494.27,06/03/2025 5:00,-,-,01/03/2025 5:00,80.67,513.29
15/01/2025 05:30,-,-,18/01/2025 05:30,-,-,15/01/2025 05:30,-,-,01/02/2025 5:30,-,-,19/02/2025 05:30,-,-,18/02/2025 05:30,-,-,22/03/2025 05:30,71.24,468.42,06/03/2025 5:30,-,-,01/03/2025 5:30,80.68,513.33
15/01/2025 06:00,-,-,18/01/2025 06:00,-,-,15/01/2025 06:00,-,-,01/02/2025 6:00,-,-,19/02/2025 06:00,-,-,18/02/2025 06:00,-,-,22/03/2025 06:00,2.16,162.35,06/03/2025 6:00,-,-,01/03/2025 6:00,87.93,548.3
15/01/2025 06:30,-,-,18/01/2025 06:30,-,-,15/01/2025 06:30,-,-,01/02/2025 6:30,-,-,19/02/2025 06:30,-,-,18/02/2025 06:30,-,-,22/03/2025 06:30,-,-,06/03/2025 6:30,-,-,01/03/2025 6:30,80.62,513.02
15/01/2025 07:00,-,-,18/01/2025 07:00,-,-,15/01/2025 07:00,-,-,01/02/2025 7:00,-,-,19/02/2025 07:00,-,-,18/02/2025 07:00,-,-,22/03/2025 07:00,-,-,06/03/2025 7:00,-,-,01/03/2025 7:00,80.65,513.18
15/01/2025 07:30,-,-,18/01/2025 07:30,-,-,15/01/2025 07:30,-,-,01/02/2025 7:30,-,-,19/02/2025 07:30,-,-,18/02/2025 07:30,13.32,209.08,22/03/2025 07:30,-,-,06/03/2025 7:30,32.66,292.56,01/03/2025 7:30,80.69,513.39
15/01/2025 08:00,-,-,18/01/2025 08:00,-,-,15/01/2025 08:00,-,-,01/02/2025 8:00,-,-,19/02/2025 08:00,-,-,18/02/2025 08:00,69.82,461.73,22/03/2025 08:00,-,-,06/03/2025 8:00,74.57,484.18,01/03/2025 8:00,80.67,513.27
15/01/2025 08:30,-,-,18/01/2025 08:30,-,-,15/01/2025 08:30,-,-,01/02/2025 8:30,-,-,19/02/2025 08:30,-,-,18/02/2025 08:30,77.64,498.79,22/03/2025 08:30,-,-,06/03/2025 8:30,81.62,517.84,01/03/2025 8:30,80.65,513.19
15/01/2025 09:00,-,-,18/01/2025 09:00,-,-,15/01/2025 09:00,-,-,01/02/2025 9:00,-,-,19/02/2025 09:00,24.41,256.58,18/02/2025 09:00,73.66,479.84,22/03/2025 09:00,-,-,06/03/2025 9:00,92.53,570.78,01/03/2025 9:00,80.75,513.67
15/01/2025 09:30,-,-,18/01/2025 09:30,-,-,15/01/2025 09:30,-,-,01/02/2025 9:30,-,-,19/02/2025 09:30,51.75,378.03,18/02/2025 09:30,73.65,479.82,22/03/2025 09:30,-,-,06/03/2025 9:30,92.55,570.86,01/03/2025 9:30,80.73,513.57
15/01/2025 10:00,-,-,18/01/2025 10:00,-,-,15/01/2025 10:00,-,-,01/02/2025 10:00,-,-,19/02/2025 10:00,75.03,486.36,18/02/2025 10:00,73.63,479.73,22/03/2025 10:00,-,-,06/03/2025 10:00,92.55,570.85,01/03/2025 10:00,80.7,513.42
15/01/2025 10:30,-,-,18/01/2025 10:30,-,-,15/01/2025 10:30,-,-,01/02/2025 10:30,-,-,19/02/2025 10:30,77.58,498.52,18/02/2025 10:30,73.7,480.02,22/03/2025 10:30,-,-,06/03/2025 10:30,92.58,571,01/03/2025 10:30,80.74,513.6
15/01/2025 11:00,-,-,18/01/2025 11:00,-,-,15/01/2025 11:00,-,-,01/02/2025 11:00,-,-,19/02/2025 11:00,77.6,498.58,18/02/2025 11:00,73.74,480.25,22/03/2025 11:00,-,-,06/03/2025 11:00,92.54,570.81,01/03/2025 11:00,80.71,513.47
15/01/2025 11:30,-,-,18/01/2025 11:30,-,-,15/01/2025 11:30,-,-,01/02/2025 11:30,-,-,19/02/2025 11:30,80.72,513.54,18/02/2025 11:30,73.75,480.28,22/03/2025 11:30,-,-,06/03/2025 11:30,92.56,570.89,01/03/2025 11:30,81.43,516.94
15/01/2025 12:00,-,-,18/01/2025 12:00,-,-,15/01/2025 12:00,-,-,01/02/2025 12:00,-,-,19/02/2025 12:00,82.58,522.48,18/02/2025 12:00,73.74,480.21,22/03/2025 12:00,-,-,06/03/2025 12:00,86.29,540.36,01/03/2025 12:00,91.67,566.58
15/01/2025 12:30,-,-,18/01/2025 12:30,-,-,15/01/2025 12:30,-,-,01/02/2025 12:30,-,-,19/02/2025 12:30,78.14,501.19,18/02/2025 12:30,73.72,480.14,22/03/2025 12:30,-,-,06/03/2025 12:30,81.54,517.46,01/03/2025 12:30,90.52,560.95
15/01/2025 13:00,15.6,218.76,18/01/2025 13:00,-,-,15/01/2025 13:00,-,-,01/02/2025 13:00,-,-,19/02/2025 13:00,77.59,498.53,18/02/2025 13:00,73.74,480.24,22/03/2025 13:00,-,-,06/03/2025 13:00,81.53,517.43,01/03/2025 13:00,78.76,504.15
15/01/2025 13:30,29.69,279.53,18/01/2025 13:30,-,-,15/01/2025 13:30,-,-,01/02/2025 13:30,-,-,19/02/2025 13:30,79.08,505.67,18/02/2025 13:30,73.68,479.94,22/03/2025 13:30,-,-,06/03/2025 13:30,81.54,517.45,01/03/2025 13:30,78.73,503.99
15/01/2025 14:00,30.81,284.44,18/01/2025 14:00,-,-,15/01/2025 14:00,-,-,01/02/2025 14:00,-,-,19/02/2025 14:00,82.58,522.48,18/02/2025 14:00,82.04,519.84,22/03/2025 14:00,-,-,06/03/2025 14:00,81.55,517.48,01/03/2025 14:00,78.76,504.14
15/01/2025 14:30,78.69,503.81,18/01/2025 14:30,-,-,15/01/2025 14:30,-,-,01/02/2025 14:30,-,-,19/02/2025 14:30,82.59,522.49,18/02/2025 14:30,91.68,566.6,22/03/2025 14:30,-,-,06/03/2025 14:30,81.56,517.55,01/03/2025 14:30,78.72,503.95
15/01/2025 15:00,92.67,571.43,18/01/2025 15:00,-,-,15/01/2025 15:00,-,-,01/02/2025 15:00,-,-,19/02/2025 15:00,81.05,515.12,18/02/2025 15:00,91.65,566.46,22/03/2025 15:00,-,-,06/03/2025 15:00,81.54,517.44,01/03/2025 15:00,78.76,504.12
15/01/2025 15:30,92.69,571.54,18/01/2025 15:30,-,-,15/01/2025 15:30,-,-,01/02/2025 15:30,-,-,19/02/2025 15:30,77.58,498.5,18/02/2025 15:30,91.61,566.24,22/03/2025 15:30,-,-,06/03/2025 15:30,81.52,517.35,01/03/2025 15:30,78.75,504.07
15/01/2025 16:00,92.66,571.42,18/01/2025 16:00,-,-,15/01/2025 16:00,-,-,01/02/2025 16:00,-,-,19/02/2025 16:00,77.55,498.37,18/02/2025 16:00,85.06,534.43,22/03/2025 16:00,-,-,06/03/2025 16:00,81.51,517.33,01/03/2025 16:00,78.77,504.19
15/01/2025 16:30,92.72,571.7,18/01/2025 16:30,-,-,15/01/2025 16:30,-,-,01/02/2025 16:30,-,-,19/02/2025 16:30,77.58,498.49,18/02/2025 16:30,73.76,480.31,22/03/2025 16:30,-,-,06/03/2025 16:30,81.54,517.44,01/03/2025 16:30,78.75,504.09
15/01/2025 17:00,92.69,571.55,18/01/2025 17:00,-,-,15/01/2025 17:00,-,-,01/02/2025 17:00,-,-,19/02/2025 17:00,77.58,498.49,18/02/2025 17:00,73.74,480.25,22/03/2025 17:00,1.78,160.76,06/03/2025 17:00,81.5,517.26,01/03/2025 17:00,78.74,504.03
15/01/2025 17:30,92.69,571.55,18/01/2025 17:30,21.16,242.54,15/01/2025 17:30,-,-,01/02/2025 17:30,-,-,19/02/2025 17:30,77.6,498.57,18/02/2025 17:30,73.75,480.29,22/03/2025 17:30,63.37,431.54,06/03/2025 17:30,81.66,518.06,01/03/2025 17:30,78.75,504.09
15/01/2025 18:00,92.71,571.63,18/01/2025 18:00,69.47,460.06,15/01/2025 18:00,-,-,01/02/2025 18:00,-,-,19/02/2025 18:00,77.56,498.39,18/02/2025 18:00,73.76,480.33,22/03/2025 18:00,74.41,483.43,06/03/2025 18:00,81.57,517.58,01/03/2025 18:00,78.76,504.12
15/01/2025 18:30,92.72,571.71,18/01/2025 18:30,69.43,459.87,15/01/2025 18:30,-,-,01/02/2025 18:30,-,-,19/02/2025 18:30,77.57,498.47,18/02/2025 18:30,73.74,480.24,22/03/2025 18:30,74.7,484.77,06/03/2025 18:30,81.59,517.68,01/03/2025 18:30,78.8,504.32
15/01/2025 19:00,92.72,571.67,18/01/2025 19:00,69.38,459.64,15/01/2025 19:00,-,-,01/02/2025 19:00,-,-,19/02/2025 19:00,77.56,498.39,18/02/2025 19:00,73.77,480.4,22/03/2025 19:00,74.69,484.73,06/03/2025 19:00,81.6,517.74,01/03/2025 19:00,78.78,504.24
15/01/2025 19:30,92.72,571.68,18/01/2025 19:30,71.23,468.35,15/01/2025 19:30,-,-,01/02/2025 19:30,-,-,19/02/2025 19:30,88.09,549.08,18/02/2025 19:30,83.47,526.74,22/03/2025 19:30,74.69,484.76,06/03/2025 19:30,81.61,517.79,01/03/2025 19:30,78.75,504.1
15/01/2025 20:00,92.7,571.61,18/01/2025 20:00,74.37,483.24,15/01/2025 20:00,-,-,01/02/2025 20:00,-,-,19/02/2025 20:00,88.99,553.46,18/02/2025 20:00,91.68,566.62,22/03/2025 20:00,74.69,484.75,06/03/2025 20:00,85.94,538.68,01/03/2025 20:00,78.73,504.01
15/01/2025 20:30,92.71,571.65,18/01/2025 20:30,74.39,483.32,15/01/2025 20:30,-,-,01/02/2025 20:30,-,-,19/02/2025 20:30,77.58,498.47,18/02/2025 20:30,91.65,566.43,22/03/2025 20:30,74.7,484.79,06/03/2025 20:30,92.58,571.01,01/03/2025 20:30,78.73,503.97
15/01/2025 21:00,87.44,545.93,18/01/2025 21:00,72.12,472.55,15/01/2025 21:00,-,-,01/02/2025 21:00,29.79,279.97,19/02/2025 21:00,80.82,514.01,18/02/2025 21:00,91.65,566.47,22/03/2025 21:00,74.7,484.79,06/03/2025 21:00,82.29,521.06,01/03/2025 21:00,78.78,504.23
15/01/2025 21:30,78.03,500.66,18/01/2025 21:30,4.23,170.94,15/01/2025 21:30,-,-,01/02/2025 21:30,70.98,467.2,19/02/2025 21:30,85.11,534.64,18/02/2025 21:30,90.46,560.66,22/03/2025 21:30,74.7,484.78,06/03/2025 21:30,74.59,484.26,01/03/2025 21:30,78.76,504.11
15/01/2025 22:00,77.77,499.39,18/01/2025 22:00,-,-,15/01/2025 22:00,-,-,01/02/2025 22:00,74.72,484.87,19/02/2025 22:00,81.6,517.72,18/02/2025 22:00,7.34,183.89,22/03/2025 22:00,74.71,484.84,06/03/2025 22:00,11.71,202.3,01/03/2025 22:00,78.71,503.9
15/01/2025 22:30,77.73,499.22,18/01/2025 22:30,-,-,15/01/2025 22:30,-,-,01/02/2025 22:30,74.72,484.87,19/02/2025 22:30,81.61,517.79,18/02/2025 22:30,-,-,22/03/2025 22:30,31.97,289.53,06/03/2025 22:30,-,-,01/03/2025 22:30,78.68,503.74
15/01/2025 23:00,77.73,499.21,18/01/2025 23:00,-,-,15/01/2025 23:00,-,-,01/02/2025 23:00,74.72,484.86,19/02/2025 23:00,67.76,452.03,18/02/2025 23:00,-,-,22/03/2025 23:00,-,-,06/03/2025 23:00,-,-,01/03/2025 23:00,78.73,504
15/01/2025 23:30,77.73,499.23,18/01/2025 23:30,-,-,15/01/2025 23:30,-,-,01/02/2025 23:30,74.71,484.82,19/02/2025 23:30,0.14,153.98,18/02/2025 23:30,-,-,22/03/2025 23:30,-,-,06/03/2025 23:30,-,-,01/03/2025 23:30,78.67,503.72
16/01/2025 00:00,77.74,499.24,19/01/2025 00:00,-,-,16/01/2025 00:00,-,-,02/02/2025 0:00,74.71,484.82,20/02/2025 00:00,-,-,19/02/2025 00:00,-,-,23/03/2025 00:00,-,-,07/03/2025 0:00,-,-,02/03/2025 0:00,78.72,503.93
16/01/2025 00:30,77.72,499.16,19/01/2025 00:30,-,-,16/01/2025 00:30,-,-,02/02/2025 0:30,74.71,484.83,20/02/2025 00:30,-,-,19/02/2025 00:30,-,-,23/03/2025 00:30,-,-,07/03/2025 0:30,-,-,02/03/2025 0:30,78.69,503.82
16/01/2025 01:00,77.73,499.19,19/01/2025 01:00,-,-,16/01/2025 01:00,-,-,02/02/2025 1:00,74.71,484.84,20/02/2025 01:00,-,-,19/02/2025 01:00,-,-,23/03/2025 01:00,-,-,07/03/2025 1:00,-,-,02/03/2025 1:00,78.73,503.97
16/01/2025 01:30,77.74,499.25,19/01/2025 01:30,-,-,16/01/2025 01:30,-,-,02/02/2025 1:30,74.69,484.76,20/02/2025 01:30,-,-,19/02/2025 01:30,-,-,23/03/2025 01:30,-,-,07/03/2025 1:30,-,-,02/03/2025 1:30,78.74,504.06
