Bulan,Unit,Tanggal & Jam,Beban (Mw),Konsumsi Gas (MMBTU/jam)
Maret,GTG 2.3,03/03/2025 2:00,83.73,527.99
Maret,GTG 2.3,03/03/2025 2:30,83.69,527.83
Maret,GTG 2.3,03/03/2025 3:00,83.76,528.16
Maret,GTG 2.3,03/03/2025 3:30,83.76,528.12
Maret,GTG 2.3,03/03/2025 4:00,83.76,528.15
Maret,GTG 2.3,03/03/2025 4:30,83.68,527.76
Maret,GTG 2.3,03/03/2025 5:00,83.73,527.98
Maret,GTG 2.3,03/03/2025 5:30,83.67,527.71
Maret,GTG 2.3,03/03/2025 6:00,83.71,527.91
Maret,GTG 2.3,03/03/2025 6:30,83.7,527.87
Maret,GTG 2.3,03/03/2025 7:00,83.75,528.11
Maret,GTG 2.3,03/03/2025 7:30,83.75,528.1
Maret,GTG 2.3,03/03/2025 8:00,83.72,527.97
Maret,GTG 2.3,03/03/2025 8:30,86.34,540.61
Maret,GTG 2.3,03/03/2025 9:00,86.05,539.22
Maret,GTG 2.3,03/03/2025 9:30,91.64,566.39
Maret,GTG 2.3,03/03/2025 10:00,78.95,505.02
Maret,GTG 2.3,03/03/2025 10:30,78.73,504.01
Maret,GTG 2.3,03/03/2025 11:00,76.91,495.3
Maret,GTG 2.3,03/03/2025 11:30,76.73,494.43
Maret,GTG 2.3,03/03/2025 12:00,76.73,494.44
Maret,GTG 2.3,03/03/2025 12:30,76.71,494.37
Maret,GTG 2.3,03/03/2025 13:00,76.76,494.6
Maret,GTG 2.3,03/03/2025 13:30,76.73,494.44
Maret,GTG 2.3,03/03/2025 14:00,79.92,509.7
Maret,GTG 2.3,03/03/2025 14:30,78.77,504.2
Maret,GTG 2.3,03/03/2025 15:00,78.76,504.13
Maret,GTG 2.3,03/03/2025 15:30,78.77,504.18
Maret,GTG 2.3,03/03/2025 16:00,78.78,504.23
Maret,GTG 2.3,03/03/2025 16:30,78.76,504.14
Maret,GTG 2.3,03/03/2025 17:00,78.77,504.16
Maret,GTG 2.3,03/03/2025 17:30,78.78,504.23
Maret,GTG 2.3,03/03/2025 18:00,78.76,504.13
Maret,GTG 2.3,03/03/2025 18:30,78.77,504.2
Maret,GTG 2.3,03/03/2025 19:00,78.75,504.1
Maret,GTG 2.3,03/03/2025 19:30,78.79,504.29
Maret,GTG 2.3,03/03/2025 20:00,78.78,504.24
Maret,GTG 2.3,03/03/2025 20:30,91.63,566.38
Maret,GTG 2.3,03/03/2025 21:00,93.7,576.49
Maret,GTG 2.3,03/03/2025 21:30,93.71,576.52
Maret,GTG 2.3,03/03/2025 22:00,93.7,576.49
Maret,GTG 2.3,03/03/2025 22:30,81.62,517.85
Maret,GTG 2.3,03/03/2025 23:00,84.58,532.1
Maret,GTG 2.3,03/03/2025 23:30,91.67,566.57
Maret,GTG 2.3,04/03/2025 0:00,91.66,566.52
